,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
70,GMB,2007,High,1,5.37,-5.18,0.275,1.69,1.28,780.379,11.469,5.223405843,33934169.6,3.043249508,24.87343333,-0.728481,4.4256753,0.0477552,-0.3740375,2.1875106,-0.891591
71,GHA,2007,Moderate,0,10.729,-6.357,-5.278,6.06,33.942,1516.07,12.765,5.223405843,234871044.8,4.346819164,0.932619195,0.0390468,5.1288427,-0.0717858,-0.048031,2.535718,0.4973204
72,GIN,2007,In debt distress,1,22.861,-7.298,1.263,0.143,6.317,628.711,9.937,5.223405843,175570184.5,6.827474427,4197.752004,-1.279774,3.752041,-2.400169,-1.229044,1.055286,-1.368684
73,GNB,2007,In debt distress,1,4.627,-4.072,-8.774,17.776,0.753,543.408,14.915,5.223405843,10555941.6,3.262955456,478.6337185,-1.19099,3.918241,-0.4599775,-1.090201,1.186147,-0.7123835
74,LBR,2007,In debt distress,1,11.391,-4.247,2.24,-0.22,1.373,424.942,18.029,5.223405843,643115505.8,9.535279869,61.27222222,-0.4577956,3.785395,-1.243969,-1.196742,1.6102784,-0.1427099
75,MDG,2007,Low,0,10.288,-11.493,-2.308,8.863,8.525,438.655,13.779,5.223405843,34604670.4,5.710564197,1873.876667,-0.1902263,4.5355316,0.0896575,-0.210702,2.1163926,-0.1390652
76,MWI,2007,Moderate,0,8.516,-8.223,-2.841,44.601,4.431,306.9,28.259,5.223405843,33671317.6,9.600000003,139.9575,-0.514421,4.4630846,0.0824758,-0.4459907,2.3444452,-0.2619393
77,MLI,2007,Low,0,1.456,-5.563,-2.784,-6.056,8.157,616.723,18.705,5.223405843,64239581.1,3.493616813,478.6337185,-0.425326,4.2489144,0.2309478,-0.358832,2.3169901,0.2253906
78,MOZ,2007,Low,0,8.161,-7.463,-2.272,-4.415,10.534,471.128,19.427,5.223405843,1159188562,7.729746242,25.84034145,-0.5154082,4.4871909,0.3576092,-0.5535753,1.9021773,-0.0817874
79,NER,2007,Moderate,0,0.054,-6.136,-0.745,2.7,5.732,390.329,16.605,5.223405843,30587688.3,3.142724084,478.6337185,-0.7518947,4.2239342,-0.4584392,-0.5021631,1.9014568,-0.3680814
80,RWA,2007,High,1,9.081,-2.044,-1.55,25.475,4.082,443.725,20.788,5.223405843,23588335.5,7.633281208,546.955,-0.0012737,4.8049439,-0.3583081,-0.6372008,1.922875,-1.246036
81,STP,2007,Moderate,0,18.55,84.849,125.135,14.991,0.145,885.101,164.054,5.223405843,6472097.1,3.253605149,13.536755,-0.3041009,4.2945958,0.393939,-0.7458607,2.065534,0.1911356
82,SEN,2007,Low,0,5.863,-9.344,-2.737,25.299,14.307,1224.13,18.953,5.223405843,190168049.5,4.938485083,478.6337185,-0.5078148,4.5256464,-0.2438859,-0.353941,2.2604589,-0.1817141
83,SLE,2007,Moderate,0,16.97,-7.418,20.09,-5.081,2.159,360.425,33.043,5.223405843,10673176.4,8.058145152,2985.185833,-0.9119571,3.846923,-0.0608303,-1.070928,1.5116718,-0.2184993
84,TZA,2007,Low,0,7.028,-8.391,-1.444,-0.413,21.811,551.879,16.401,5.223405843,72825052.7,6.768535202,1245.035464,-0.3374165,4.6033066,-0.3856436,-0.41469,2.1270633,-0.1424699
85,TGO,2007,In debt distress,1,0.433,-8.114,-2.588,0.707,2.663,449.791,16.75,5.223405843,15449575.1,-1.175120389,478.6337185,-0.9900438,3.466913,-0.3408129,-0.9354221,1.5768278,-1.067694
86,UGA,2007,Low,0,6.09,-3.15,-0.815,20.703,17.512,634.361,12.417,5.223405843,66620884.9,8.412425966,1723.491587,-0.8213381,4.5676824,-0.9151093,-0.2207041,2.1404127,-0.4860639
87,ZMB,2007,Low,0,10.655,-1.238,-1.037,3.096,14.057,1103.45,18.886,5.223405843,124749303.5,8.352436244,4.001666667,-0.4050106,4.2758886,0.3634163,-0.4928786,1.9747609,-0.2069852
88,BEN,2008,Moderate,0,6.767,-5.499,-0.041,1.302,9.787,1125.3,14.509,3.082411335,30136093.5,4.896577084,446.0000414,-0.5033103,4.5376319,0.3745913,-0.4972941,1.9660892,0.3446475
89,BFA,2008,High,1,10.668,-10.232,-3.627,9.003,9.45,643.334,14.963,3.082411335,41836080.7,5.799991741,446.0000414,-0.3048229,4.5102022,0.120163,-0.1939826,2.1551186,-0.2834808
90,BDI,2008,In debt distress,1,24.407,-9.821,-2.704,16.101,1.612,195.79,38.458,3.082411335,19630496.3,4.861712995,1185.690833,-1.090768,3.872951,-1.638164,-1.243566,1.476867,-0.6852906
91,CMR,2008,Low,0,5.338,-1.703,2.09,-4.454,26.514,1367.9,18.722,3.082411335,437898436,3.488800919,446.0000414,-1.022167,4.1941795,-0.5508961,-0.8271499,1.400142,-1.067796
92,CAF,2008,High,1,9.259,-9.71,-1.231,-12.378,2.033,485.807,14.796,3.082411335,26956856.8,2.054130962,446.0000414,-1.115491,3.625589,-1.842395,-1.206067,1.085214,-0.9880777
93,TCD,2008,High,1,8.333,3.552,3.614,-9.179,10.43,932.601,22.409,3.082411335,137290536.1,3.052691532,446.0000414,-1.522943,3.423347,-1.966756,-1.175087,0.883302,-1.445907
94,COM,2008,In debt distress,1,4.816,-6.059,-1.464,-3.103,0.916,1403.8,13.664,3.082411335,12367449.3,3.999971991,334.5000311,-0.7902945,3.224463,-1.107348,-1.494797,1.467032,-0.2873705
95,COD,2008,In debt distress,1,17.966,-0.766,-0.477,11.029,19.709,280.395,11.194,3.082411335,592150074.6,6.225894269,559.2925083,-1.244319,3.334546,-2.005968,-1.296066,0.940679,-1.387891
96,COG,2008,High,1,6.02,7.462,23.897,-5.584,11.649,3346.18,48.063,3.082411335,167418074,6.306375956,446.0000414,-1.175675,3.779446,-0.7200658,-1.267693,1.304606,-1.155456
97,CIV,2008,In debt distress,1,6.315,1.349,-0.21,-4.608,33.621,1697.05,14.38,3.082411335,1048013371,2.542841476,446.0000414,-1.107821,3.756996,-1.806674,-0.9032416,1.078469,-1.16756
98,ETH,2008,Moderate,0,44.371,-6.879,-2.882,5.428,26.25,326.82,15.874,3.082411335,103472657.5,10.78852169,9.599741667,-0.664217,4.6032671,-1.730085,-0.8601215,1.8029047,-1.307213
99,GMB,2008,High,1,4.451,-7.563,-0.454,-3.96,1.562,924.514,11.097,3.082411335,17112888,6.255905534,22.19235,-0.7382274,4.27565,0.0651153,-0.4031689,2.0868801,-0.8655047
100,GHA,2008,Moderate,0,16.505,-8.852,-5.944,8.291,38.414,1677.39,11.845,3.082411335,231063663.9,9.149798975,1.052275,-0.0705424,5.0327254,-0.0276288,-0.0368968,2.4319816,0.4318844
101,GIN,2008,In debt distress,1,18.367,-6.582,0.374,20.685,6.966,675.387,10.459,3.082411335,155879834.4,4.136616153,4601.691004,-1.20396,3.82917,-2.098021,-1.212222,0.970805,-1.426304
102,GNB,2008,In debt distress,1,10.445,-3.024,-0.735,0.981,0.953,672.251,21.02,3.082411335,9794647.9,3.203567307,446.0000414,-1.180871,3.958342,-0.709056,-1.198117,1.114324,-0.7153731
103,LBR,2008,In debt distress,1,17.49,-29.289,-2.658,0.353,1.726,512.351,18.767,3.082411335,934692875.9,7.145688998,63.2075,-0.7375427,3.71633,-1.285086,-1.341423,1.408867,-0.1849382
104,MDG,2008,Low,0,9.297,-15.915,-1.723,32.531,10.725,536.352,13.988,3.082411335,39397050.1,6.71263895,1708.370833,-0.2661915,4.3501902,-0.4700531,-0.3250708,2.0503244,-0.3261529
105,MWI,2008,Moderate,0,8.716,-15.099,-3.692,7.147,5.321,358.416,28.075,3.082411335,32032278.8,7.639736774,140.5216667,-0.4456559,4.454371,-0.0621808,-0.483631,2.3895652,-0.2466548
106,MLI,2008,Low,0,9.121,-13.588,-1.977,-4.709,9.837,719.334,16.899,3.082411335,69119090.8,4.773145081,446.0000414,-0.5290691,4.2262978,0.2103665,-0.4054857,2.1790708,0.202511
107,MOZ,2008,Low,0,14.503,-9.076,-1.947,13.533,12.64,549.706,19.931,3.082411335,604880264.2,7.317755324,24.30064247,-0.4920207,4.4886468,0.3815113,-0.4501007,1.893061,-0.0727424
